iter	Passed	Remaining
606	7285	4717
607	7297	4705
608	7311	4694
609	7327	4684
610	7339	4672
611	7348	4658
612	7359	4646
613	7372	4634
614	7384	4622
615	7397	4611
616	7408	4598
617	7421	4587
618	7434	4575
619	7448	4565
620	7460	4553
621	7474	4542
622	7486	4530
623	7499	4518
624	7511	4506
625	7521	4493
626	7533	4481
627	7544	4469
628	7559	4458
629	7570	4445
630	7580	4432
631	7592	4420
632	7603	4408
633	7617	4397
634	7631	4386
635	7646	4376
636	7656	4363
637	7669	4351
638	7679	4338
639	7690	4325
640	7700	4312
641	7712	4300
642	7722	4287
643	7737	4277
644	7753	4267
645	7768	4256
646	7780	4245
647	7793	4233
648	7804	4220
649	7814	4208
650	7827	4196
651	7842	4185
652	7858	4175
653	7873	4165
654	7883	4152
655	7900	4142
656	7913	4131
657	7925	4119
658	7936	4106
659	7947	4093
660	7958	4081
661	7973	4071
662	7989	4061
663	8001	4048
664	8013	4036
665	8027	4025
666	8036	4012
667	8046	3999
668	8057	3986
669	8068	3973
670	8084	3964
671	8095	3951
672	8106	3938
673	8118	3926
674	8131	3915
675	8142	3902
676	8152	3889
677	8164	3877
678	8176	3865
679	8191	3854
680	8202	3842
681	8212	3829
682	8223	3816
683	8233	3803
684	8247	3792
685	8258	3780
686	8273	3769
687	8285	3757
688	8294	3743
689	8303	3730
690	8315	3718
691	8326	3705
692	8337	3693
693	8349	3681
694	8360	3668
695	8372	3656
696	8384	3644
697	8394	3632
698	8404	3619
699	8415	3606
700	8429	3595
701	8440	3583
702	8455	3572
703	8465	3559
704	8475	3546
705	8483	3532
706	8497	3521
707	8506	3508
708	8518	3496
709	8530	3484
710	8542	3472
711	8553	3460
712	8565	3447
713	8577	3435
714	8591	3424
715	8601	3411
716	8614	3399
717	8629	3389
7719	8674	33737720	8687	3361720	8666	3353
7722	8711	3337722	8689	3329
723	8702	3317
724	8711	3304
725	8727	3294
726	8738	3281
727	8748	3268
728	8759	3256
729	8772	3244
730	8787	3233
731	8798	3221
732	8811	3209
733	8822	3197
7735	8868	31817736	8880	3168736	8862	3162
737	8877	3151
738	8888	3139
739	8900	3127
740	8911	3114
741	8926	3103
742	8936	3091
743	8948	3078
744	8960	3066
745	8971	3054
746	8981	3041
747	8993	3029
748	9006	3018
749	9016	3005
750	9033	2994
751	9046	2983
752	9058	2971
753	9071	2959
754	9084	2947
755	9100	2937
756	9109	2924
757	9121	2912
758	9135	2900
759	9155	2891
760	9169	2879
761	9180	2867
762	9191	2855
763	9206	2843
764	9218	2831
765	9230	2819
766	9241	2807
767	9251	2794
768	9262	2782
769	9275	2770
770	9286	2758
771	9297	2745
772	9307	2733
773	9318	2720
774	9327	2708
775	9341	2696
776	9350	2683
777	9362	2671
778	9375	2659
779	9386	2647
780	9397	2635
